Lens ID,Jurisdiction,Document Type,Legal Status,Application Number,Family Member Lens IDs,Family Member Jurisdictions,Family Member Application Numbers,Family Member Document Types,Family Member Legal Statuses
014-920-934-512-545,US,Patent Application,DISCONTINUED,US 202117211261 A,097-089-867-958-629||177-465-769-129-129||079-545-212-903-364||135-255-854-285-557||059-376-594-769-497||081-271-798-730-62X||139-676-066-770-296||161-913-256-260-119||016-351-772-321-249||107-565-685-587-703||115-896-064-301-713||047-910-647-667-251||164-822-814-127-968||120-265-564-153-171||120-020-339-546-408||060-779-576-006-738||184-709-085-856-271||108-456-395-678-731||184-139-579-801-850||141-572-057-193-98X||196-533-604-517-60X||146-240-393-524-259||105-070-075-790-010||000-197-638-321-500||164-003-159-474-867,EP||GB||US||CA||AU||CA||EP||US||GB||GB||GB||US||GB||US||EP||US||WO||AU||GB||CA||GB||GB||US||GB||US,EP 13751112 A||GB 201306788 A||US 201314380234 A||CA 2865170 A||AU 2013/222414 A||CA 3095010 A||EP 13751112 A||US 201314380234 A||GB 201315212 A||GB 201315212 A||GB 201315212 A||US 201815910491 A||GB 201502417 A||US 201815910477 A||EP 13751112 A||US 201815910491 A||US 2013/0027159 W||AU 2013/222414 A||GB 201306788 A||CA 2865170 A||GB 201306788 A||GB 201502417 A||US 202418777657 A||GB 201502417 A||US 201815910477 A,Search Report||Granted Patent||Patent Application||Patent Application||Patent Application||Patent Application||Patent Application||Granted Patent||Patent Application||Granted Patent||Patent Application||Granted Patent||Patent Application||Patent Application||Granted Patent||Patent Application||Patent Application||Granted Patent||Patent Application||Granted Patent||Patent Application||Granted Patent||Patent Application||Patent Application||Granted Patent,ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||PENDING||ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||PENDING||ACTIVE||ACTIVE||ACTIVE||ACTIVE||ACTIVE||PENDING||ACTIVE||ACTIVE
103-948-931-946-410,US,Granted Patent,ACTIVE,US 202017110766 A,168-515-567-244-985||164-252-414-259-126||026-317-864-504-484||130-499-736-245-246||042-953-322-053-006||165-116-369-975-368||186-007-824-336-55X,US||US||US||US||US||US||US,US 201916514591 A||US 202318178917 A||US 202017110766 A||US 202418947045 A||US 201916514591 A||US 201916514591 A||US 202318178917 A,Granted Patent||Patent Application||Patent Application||Patent Application||Patent Application||Amended Application||Granted Patent,ACTIVE||ACTIVE||ACTIVE||PENDING||ACTIVE||ACTIVE||ACTIVE
176-912-377-055-867,US,Granted Patent,ACTIVE,US 201615081408 A,145-441-251-328-660||032-711-820-262-818||056-150-804-084-47X||071-405-572-507-183||033-410-145-365-908||068-513-168-100-891||187-473-260-019-691||163-643-626-333-22X||167-155-025-223-263||064-895-103-117-677||016-932-496-412-472,AU||CA||US||AU||EP||US||WO||US||US||EP||WO,AU 2014/312249 A||CA 2922806 A||US 201414471663 A||AU 2017/254878 A||EP 14840258 A||US 201615287065 A||US 2014/0053223 W||US 201615081408 A||US 201414471663 A||EP 14840258 A||US 2014/0053223 W,Patent Application||Patent Application||Patent Application||Patent Application||Patent Application||Patent Application||Search Report||Patent Application||Granted Patent||Search Report||Patent Application,DISCONTINUED||DISCONTINUED||ACTIVE||DISCONTINUED||DISCONTINUED||DISCONTINUED||PENDING||ACTIVE||ACTIVE||DISCONTINUED||PENDING
086-963-205-553-664,US,Granted Patent,ACTIVE,US 80955107 A,175-108-017-031-868,US,US 80955107 A,Patent Application,ACTIVE
103-256-101-079-605,WO,Search Report,PENDING,US 2007/0071381 W,136-252-074-931-645||156-784-173-495-597,US||WO,US 76341207 A||US 2007/0071381 W,Patent Application||Patent Application,DISCONTINUED||PENDING
