publicationnumber,cids,sids,refsids,title,abstract,prioritydate,grantdate,inventors,assignees,classification,family,aids,geneids,protacxns,taxids,anatomyids
US-6342350-B1,428|11198|65070|441373|6364545,129681595|226399282|226413419|508850186|508867526,"",Alpha-2-macroglobulin diagnostic test,"The disclosed invention relates to a diagnostic method for Alzheimer's disease based on genotyping the Alpha-2-Macroglobulin locus. A statistically significant correlation was found between inheritance of particular alleles of the Alpha-2-Macroglobulin gene and the occurrence of Alzheimer's disease. The diagnostic method involves the isolation of nucleic acid from an individual and subsequent genotyping by means such as sequencing or restriction fragment length polymorphism analysis. The invention also provides a means of genotype analysis through protein isotyping Alpha-2-Macroglobulin variant proteins. Finally, kits for nucleic acid analysis or protein analysis are taught.",19970905,20020129,TANZI RUDOLPH E|HYMAN BRADLEY T|REBECK GEORGE W|BLACKER DEBORAH L,GEN HOSPITAL CORP,C07K14/81|C12N15/09|C12P19/34|C12Q1/68|G01N33/68,AU-9222798-A|CA-2302829-A1|EP-1012341-A1|EP-1012341-A4|JP-2001514861-A|US-2002028462-A1|US-6342350-B1|WO-9911824-A1,"","","","",""
WO-2005120558-A3,"","","",Methods for making compositions comprising heat shock proteins or alpha-2-macroglobulin for the treatment of cancer and infectious disease,"The present invention relates to methods for making complexes of HSP or alpha-2 macroglobulin and antigenic peptides, and uses of such complexes for the prevention and treatment of infectious diseases, cancers, and metabolic disorders. The methods of the invention comprises treating a purified target antigen preparation with a protease and/or a chemical to generate an antigenic set of peptides which is complexed to HSP or alpha-2 macroglobulin. Also encompassed in the invention are compositions comprising complexes of HSP or alpha-2 macroglobulin and antigenic peptides.",20040525,"",SRIVASTAVA PRAMOD K,UNIV CONNECTICUT HEALTH CT|SRIVASTAVA PRAMOD K,A01N61/00|A61K31/00|A61K38/00|A61K39/00|C07K16/00|C07K17/00|C07K5/00|C07K7/00,WO-2005120558-A2|WO-2005120558-A3,"",2|11287|24153|232345|513856|619586|100006947|100173946,"","",""
